#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.record_id
#foreign_key_rtable=rtable.record_id
_id,ltable.record_id,rtable.record_id,ltable.author,ltable.date,ltable.length,ltable.price,ltable.publisher,ltable.title,rtable.author,rtable.date,rtable.length,rtable.price,rtable.publisher,rtable.title
0,1,35,mike harris & Frank Beamer,"Jul 07, 2015",264,16.99,Sports Publishing,Game of My Life Virginia Tech Hokies," Steve Buckner, Bill Self",February 2015,272,24.95,Sports Publishing,Game of My Life University of Kansas Jayhawks
1,1,1222,mike harris & Frank Beamer,"Jul 07, 2015",264,16.99,Sports Publishing,Game of My Life Virginia Tech Hokies, Christopher Rivers,October 2007,151,40.0,Greenwood Publishing Group,My Life and Battles
2,1,3143,mike harris & Frank Beamer,"Jul 07, 2015",264,16.99,Sports Publishing,Game of My Life Virginia Tech Hokies," Jason J-Mac McElwain, Daniel Paisner",February 2008,256,11.99,Penguin Publishing Group,The Game of My Life
3,1,3582,mike harris & Frank Beamer,"Jul 07, 2015",264,16.99,Sports Publishing,Game of My Life Virginia Tech Hokies," Anderl Heckmair, Reinhold Messner, Tim Carruthers",January 2015,300,8.74,Vertebrate Publishing,My Life
4,1,7873,mike harris & Frank Beamer,"Jul 07, 2015",264,16.99,Sports Publishing,Game of My Life Virginia Tech Hokies, A.P. McCoy,,0,0.0,Orion Publishing Group,Winner: My Racing Life
5,1,8865,mike harris & Frank Beamer,"Jul 07, 2015",264,16.99,Sports Publishing,Game of My Life Virginia Tech Hokies," John Halligan, John Kreiser",November 2012,272,24.95,Sports Publishing,Game of My Life New York Rangers
6,1,10587,mike harris & Frank Beamer,"Jul 07, 2015",264,16.99,Sports Publishing,Game of My Life Virginia Tech Hokies, Earvin Magic Johnson,February 2009,0,7.99,Random House Publishing Group,My Life
7,1,11066,mike harris & Frank Beamer,"Jul 07, 2015",264,16.99,Sports Publishing,Game of My Life Virginia Tech Hokies, Matt Loede,September 2015,200,24.99,Sports Publishing,Game of My Life Pittsburgh Steelers
8,1,11509,mike harris & Frank Beamer,"Jul 07, 2015",264,16.99,Sports Publishing,Game of My Life Virginia Tech Hokies," Michael Garry, Howie Rose",March 2015,288,24.99,Sports Publishing,Game of My Life New York Mets
9,1,11530,mike harris & Frank Beamer,"Jul 07, 2015",264,16.99,Sports Publishing,Game of My Life Virginia Tech Hokies, Craig T Smith,September 2014,224,24.95,Sports Publishing,Game of My Life Miami Hurricanes
10,1,12081,mike harris & Frank Beamer,"Jul 07, 2015",264,16.99,Sports Publishing,Game of My Life Virginia Tech Hokies," Chaz Scoggins, Johnny Pesky",February 2014,208,24.95,Sports Publishing,Game of My Life Boston Red Sox
11,1,12177,mike harris & Frank Beamer,"Jul 07, 2015",264,16.99,Sports Publishing,Game of My Life Virginia Tech Hokies," Tommy Hicks, Chris Stewart",September 2011,272,24.95,Sports Publishing,Game of My Life Alabama Crimson Tide
12,1,12178,mike harris & Frank Beamer,"Jul 07, 2015",264,16.99,Sports Publishing,Game of My Life Virginia Tech Hokies, Joel A. Rippel,July 2013,240,24.95,Sports Publishing,Game of My Life Minnesota Gophers
