,amazon_id,google_id
0,b000jz4hqo,http://www.google.com/base/feeds/snippets/18441480711193821750
1,b00004tkvy,http://www.google.com/base/feeds/snippets/18441110047404795849
2,b000g80lqo,http://www.google.com/base/feeds/snippets/18441188461196475272
3,b0006se5bq,http://www.google.com/base/feeds/snippets/18428750969726461849
4,b00021xhzw,http://www.google.com/base/feeds/snippets/18430621475529168165
5,b0000dbykm,http://www.google.com/base/feeds/snippets/18434163358494173665
6,b0000dbykm,http://www.google.com/base/feeds/snippets/18363672170449359273
7,b00029bqa2,http://www.google.com/base/feeds/snippets/18431790997623472871
8,b0007prnjo,http://www.google.com/base/feeds/snippets/18434733520229761009
9,b000i82j80,http://www.google.com/base/feeds/snippets/18434262004669557918
10,b000i82j80,http://www.google.com/base/feeds/snippets/6054765746746674194
11,b000in6u62,http://www.google.com/base/feeds/snippets/18434616791723899127
12,b00006hvvo,http://www.google.com/base/feeds/snippets/3409784122469217433
13,b00006hvvo,http://www.google.com/base/feeds/snippets/9687887699930800156
14,b0000ycfcw,http://www.google.com/base/feeds/snippets/321181551780335576
15,b00066dd5m,http://www.google.com/base/feeds/snippets/949436197920820923
16,b00002sac9,http://www.google.com/base/feeds/snippets/8401993747038150345
17,b000bcz8ng,http://www.google.com/base/feeds/snippets/3077454195131808819
18,b000fm18vi,http://www.google.com/base/feeds/snippets/3620383930983735395
19,b00009apna,http://www.google.com/base/feeds/snippets/3435680088823178198
20,b0009rgzgm,http://www.google.com/base/feeds/snippets/1883379429602083103
21,b000ap2wyw,http://www.google.com/base/feeds/snippets/2622452102774676117
22,b000o24l3q,http://www.google.com/base/feeds/snippets/5181661570525386541
23,b000o24l3q,http://www.google.com/base/feeds/snippets/9489728552695383239
24,b0009jlux8,http://www.google.com/base/feeds/snippets/4923451909983851979
25,b000cszg2m,http://www.google.com/base/feeds/snippets/5032391174084349054
26,b00023azve,http://www.google.com/base/feeds/snippets/4949402291543451335
27,b000ndicuy,http://www.google.com/base/feeds/snippets/2263647849333008264
28,b0000ycfdq,http://www.google.com/base/feeds/snippets/4188176128903497851
29,b0007yepy6,http://www.google.com/base/feeds/snippets/4783370532123880956
30,b000cpmtwk,http://www.google.com/base/feeds/snippets/1417708435719198149
31,b0002qnd2y,http://www.google.com/base/feeds/snippets/975032998818002648
32,b000h22pg8,http://www.google.com/base/feeds/snippets/392494394952738157
33,b0009h9q1i,http://www.google.com/base/feeds/snippets/5665024204886410
34,b000cqyclu,http://www.google.com/base/feeds/snippets/1695089910833084773
35,b0001db6i6,http://www.google.com/base/feeds/snippets/12904825904608701558
36,b000bl40dg,http://www.google.com/base/feeds/snippets/10381298233088883938
37,b000h22rbg,http://www.google.com/base/feeds/snippets/10500380486679990055
38,b000bezsyi,http://www.google.com/base/feeds/snippets/10911853136488554482
39,b0007g9760,http://www.google.com/base/feeds/snippets/11567429261409321598
40,b0001bg5gq,http://www.google.com/base/feeds/snippets/11618158047568311763
41,b000ivhozk,http://www.google.com/base/feeds/snippets/12543046747030237240
42,b000buqo9a,http://www.google.com/base/feeds/snippets/12604725900103506627
43,b00032heya,http://www.google.com/base/feeds/snippets/6195321262763979528
44,b000butd6q,http://www.google.com/base/feeds/snippets/6990565128537638388
45,b00032hexq,http://www.google.com/base/feeds/snippets/6856336028258284106
46,b000b6vlh4,http://www.google.com/base/feeds/snippets/10993073455692001778
47,b0009i9tqy,http://www.google.com/base/feeds/snippets/8804538687114603592
48,b00024yohy,http://www.google.com/base/feeds/snippets/9205821354688722990
49,b00020633g,http://www.google.com/base/feeds/snippets/5720091777255380975
50,b000cbqbby,http://www.google.com/base/feeds/snippets/5968511357343083164
